   M         Z         Y                   Tc
0.60   0.00176   0.25027   499586.83226688707
0.60   0.00312   0.25164   499674.66288160306
0.60   0.00555   0.25409   100829.33741601008
0.60   0.00987   0.25844   102135.53727598644
0.60   0.01756   0.26618   500522.4985886213
0.60   0.03123   0.27994   500497.40126083663
0.60   0.05553   0.30441   499551.20347443456
0.80   0.00176   0.25027   499568.71203752776
0.80   0.00312   0.25164    98091.4575160511
0.80   0.00555   0.25409   100352.33050754387
0.80   0.00987   0.25844   106169.85035071672
0.80   0.01756   0.26618   117499.38197787644
0.80   0.03123   0.27994   113101.71043980346
0.80   0.05553   0.30441   99891.12752456595
1.00   0.00176   0.25027   599436.5344450963
1.00   0.00312   0.25164    97111.9790336161
1.00   0.00555   0.25409    99385.51034920596
1.00   0.00987   0.25844   102372.7587136496
1.00   0.01756   0.26618   107838.0026722377
1.00   0.03123   0.27994   111506.81066369543
1.00   0.05553   0.30441   99854.61178111596
1.10   0.00176   0.25027   699318.4979588934
1.10   0.00312   0.25164   899157.1499382714
1.10   0.00555   0.25409   699628.0543682508
1.10   0.00987   0.25844   699860.0272002359
1.10   0.01756   0.26618   500565.1739947607
1.10   0.03123   0.27994   500285.2184751872
1.10   0.05553   0.30441   499516.0753153934
1.20   0.00176   0.25027   499575.5574882685
1.20   0.00312   0.25164    96984.88251876814
1.20   0.00555   0.25409    98932.45477691719
1.20   0.00987   0.25844   102406.2699620018
1.20   0.01756   0.26618   108847.64595166917
1.20   0.03123   0.27994   110771.17886485968
1.20   0.05553   0.30441    99817.7344195899
1.30   0.00176   0.25027   699321.9726957945
1.30   0.00312   0.25164   699396.0201699332
1.30   0.00555   0.25409   699566.8136211571
1.30   0.00987   0.25844   699857.7252505558
1.30   0.01756   0.26618   500241.931491478
1.30   0.03123   0.27994   500180.0056509917
1.30   0.05553   0.30441   499522.31938071374
1.40   0.00176   0.25027   499607.069790063
1.40   0.00312   0.25164   599515.5870985386
1.40   0.00555   0.25409    98988.38869031498
1.40   0.00987   0.25844   101954.10028007232
1.40   0.01756   0.26618   107460.64404255818
1.40   0.03123   0.27994   110754.24704038633
1.40   0.05553   0.30441    99782.11980298987
1.50   0.00176   0.25027   699321.3577613821
1.50   0.00312   0.25164   699415.714953212
1.50   0.00555   0.25409   699524.5243036674
1.50   0.00987   0.25844   699745.3795431344
1.50   0.01756   0.26618   500167.86656542646
1.50   0.03123   0.27994   500226.9855112223
1.50   0.05553   0.30441   499553.7124803799
1.60   0.00176   0.25027   599428.4385483039
1.60   0.00312   0.25164   599484.2776301631
1.60   0.00555   0.25409    98677.85914316638
1.60   0.00987   0.25844   101540.31907965109
1.60   0.01756   0.26618   105552.51224741034
1.60   0.03123   0.27994   108753.91770741307
1.60   0.05553   0.30441    99740.43589422527
1.70   0.00176   0.25027   699335.4485781214
1.70   0.00312   0.25164   699419.8861967435
1.70   0.00555   0.25409   899255.4394185966
1.70   0.00987   0.25844   899438.7728681032
1.70   0.01756   0.26618   500156.23211550585
1.70   0.03123   0.27994   500192.7878602359
1.70   0.05553   0.30441   499545.9771776497
1.80   0.00176   0.25027   499593.0760826566
1.80   0.00312   0.25164    97517.22044002966
1.80   0.00555   0.25409    98909.9725972644
1.80   0.00987   0.25844   101707.86149414249
1.80   0.01756   0.26618   106234.18477027972
1.80   0.03123   0.27994   109423.84544050222
1.80   0.05553   0.30441    99701.07391121908
2.00   0.00176   0.25027   499582.5989752451
2.00   0.00312   0.25164   599497.6457831601
2.00   0.00555   0.25409    99155.65211347549
2.00   0.00987   0.25844   101430.13830421101
2.00   0.01756   0.26618   105538.09745427952
2.00   0.03123   0.27994   107399.54212824554
2.00   0.05553   0.30441    99654.58110161581
2.20   0.00176   0.25027   899173.9587348372
2.20   0.00312   0.25164   899219.6972997981
2.20   0.00555   0.25409   899250.0949349453
2.20   0.00987   0.25844   899180.0698902837
2.20   0.01756   0.26618   500005.2512136989
2.20   0.03123   0.27994   500551.0289954617
2.20   0.05553   0.30441   499601.00689049286
2.50   0.00176   0.25027   499552.9867681786
2.50   0.00312   0.25164   599482.0367704063
2.50   0.00555   0.25409    98958.7044333901
2.50   0.00987   0.25844   101108.84890530742
2.50   0.01756   0.26618   104973.07657517673
2.50   0.03123   0.27994   106045.17614321253
2.50   0.05553   0.30441    99532.84311214254
